k;dato;time;median k=3
3;2024-05-05;0;672,2012773145417
3;2024-05-05;1;637,832387830602
3;2024-05-05;2;619,2605505128887
3;2024-05-05;3;596,4288106733294
3;2024-05-05;4;606,579834465584
3;2024-05-05;5;666,3804639457517
3;2024-05-05;6;871,0242962303683
3;2024-05-05;7;1009,6058982001974
3;2024-05-05;8;861,174308053611
3;2024-05-05;9;722,2727880565944
3;2024-05-05;10;609,2070947333551
3;2024-05-05;11;570,8542358432801
3;2024-05-05;12;473,0262505392964
3;2024-05-05;13;425,5948210263555
3;2024-05-05;14;469,2041408164398
3;2024-05-05;15;547,6840271778959
3;2024-05-05;16;603,3322242125009
3;2024-05-05;17;744,481546248706
3;2024-05-05;18;895,7418354191981
3;2024-05-05;19;1171,465460853917
3;2024-05-05;20;1276,3550705434297
3;2024-05-05;21;1043,609382146116
3;2024-05-05;22;853,2691079666114
3;2024-05-05;23;721,4645662061018
