k;dato;time;median k=13
13;2024-05-05;0;672,2012773145417
13;2024-05-05;1;637,832387830602
13;2024-05-05;2;615,7410588527775
13;2024-05-05;3;596,4288106733294
13;2024-05-05;4;606,579834465584
13;2024-05-05;5;666,3804639457517
13;2024-05-05;6;729,9391411801822
13;2024-05-05;7;751,9083659518208
13;2024-05-05;8;724,762691091916
13;2024-05-05;9;641,9578369940913
13;2024-05-05;10;481,14937851369285
13;2024-05-05;11;414,75956960943125
13;2024-05-05;12;429,1053948266242
13;2024-05-05;13;411,52651956411256
13;2024-05-05;14;405,08662287535947
13;2024-05-05;15;409,4845966642445
13;2024-05-05;16;493,3130611171517
13;2024-05-05;17;596,1489832690845
13;2024-05-05;18;750,583043757672
13;2024-05-05;19;932,7301180418477
13;2024-05-05;20;940,7787937189782
13;2024-05-05;21;889,3763284039965
13;2024-05-05;22;779,9824592686105
13;2024-05-05;23;721,4645662061018
