k;dato;time;median k=7
7;2024-05-05;0;672,2012773145417
7;2024-05-05;1;637,832387830602
7;2024-05-05;2;619,2605505128887
7;2024-05-05;3;596,4288106733294
7;2024-05-05;4;606,579834465584
7;2024-05-05;5;666,3804639457517
7;2024-05-05;6;729,9391411801822
7;2024-05-05;7;829,9262206725709
7;2024-05-05;8;820,6500219901044
7;2024-05-05;9;715,5804947085093
7;2024-05-05;10;609,2070947333551
7;2024-05-05;11;570,8542358432801
7;2024-05-05;12;473,0262505392964
7;2024-05-05;13;425,5948210263555
7;2024-05-05;14;469,2041408164398
7;2024-05-05;15;547,6840271778959
7;2024-05-05;16;603,3322242125009
7;2024-05-05;17;681,1164990764331
7;2024-05-05;18;847,6897238901623
7;2024-05-05;19;1053,7927671919556
7;2024-05-05;20;1154,976999251961
7;2024-05-05;21;927,0536948766799
7;2024-05-05;22;853,2691079666114
7;2024-05-05;23;721,5426497359938
